Date,Year,Pros,Cons
2019-05-20,2019,"Apptivo Rocks!”
 Very, very good. It is really hard to find fault. A brilliant company, very good software and a really responsive help desk that can answers questions, 24/7. What is there not to like? WELL DONE APPTIVO....(just address my two little 'cons' and you have a PERFECT platform).
 Features - This is a one stop shop. Marketing, Sales, Telephony, Shipping... the list just goes on and on. I don't there is a need to sign up to a separate subscription for other services. Apptivo has you covered for everything. Price - Amazing...so much for so little. I don't believe another platform offers such value for money. The closet is Bitrix 24, but you have to sign up for at least 5 users to use all their functionality like Google 2-way sync. So although good, not the best if you are just starting out. Customization - This app allows you to add fields, change the layout and do pretty much what you want in terms of one wishes to use it. Integration - integrates with all the major platforms and has some great 3rd party plugins. Support - 24/7 and immediate No waiting. Brilliant. Support team is particular helpful
","I think the U.I could do with a refresh Document support for uploaded files is a little limited. The software would be perfect if it had a viewer support for Word docs, etc. What this means is that any uploaded document, has to be downloaded in order to view it. This is clumsy....but a small price to pay, for what is very good software in nearly all respects.
"
2019-05-18,2019,"Apptivo can help a business grow with invoicing, time sheet and project management abilities. Optivo has a billing powerful system which can send and receive online payments universally.
","Well, Optivo is a huge competor and leader in the market, you can't hate Optivo."
2019-05-14,2019,"“Great product, amazing customer service”
 Easy to use, robust and easily customizable. Their customer service is amazing. Had an issue getting Google forms to work correctly with lead submissions on a custom form - their team worked with me to customize the script and got it to work perfectly.
","I just started using Apptivo, haven't really had time to find any cons.
"
2019-05-10,2019,"“Perfect solution for our business needs.”
 We can setup an email campaign, do invoices, dispatch employees, this really does it all. We have tried many similar systems and this is up with the best of them. The mobile app works well and the customer service is very responsive.
","Integrations are still custom, other than that very user friendly.
"
2019-05-10,2019,"“mostly okay”
 easy to operate no commercial AD basic functions are for free customer support is very quickly responded and work out.
","sometimes, some functional operations are changed without reminding the end users.
"
2019-05-09,2019,"Support has been excellent”
 I am still learning Apptivo and am finding that it is quite powerful. It's not alway intuitive but the support I received from representative is excellent. I hope his manager representative knows what a great asset representative is!
","Customizing the software is not always intuitive but it's really just a matter of learning it. Apptivo has a good product.
"
2019-05-06,2019,"A good choice.”
 I use it primarily for sales. I love it.
 Price/Value is exceptional. Seems pretty powerful. Tech support is excellent.
","Occassionally I find things that just don't work or would be better done another way.
"
2019-05-06,2019,"Streamlined, robust CRM for a small business”
 Apptivo is equipped with the primary sales automation features that our firm needed but offers much more that we can choose to implement down the road if we choose. Very cost effective and adaptive to our needs. Also, I appreciated that the sales and implementation team focused on the applications/services we requested rather than try to up-sell us on additional features.
","We are only ~2 months in to fully using Apptivo and are still learning the ins and outs of the system. No major cons/complaints at this point.
"
2019-05-02,2019,"Easy to understand and payment option offers us an all in one system.
","Had a few technical issues which was solved by the very efficient support team.
"
2019-05-02,2019,"“Support was great. Thanks executive.”
 CRM and invoicing. Both great.
 Features are great. Have used for a number of years.
","Hard to know where all settings are located.
"
2019-04-29,2019,"The Apptivo Customer service is good when a problem arises.
 The Sales & Pipleline function enable me to easily track open quotes.
","It can be glitchy at times, it can hang & Sometimes I lose a whole quote as it doesn't save.
"
2019-04-24,2019,"Great Option for Unique Business Model”
 Apptivo is allowing our business to organize and use information more efficiently. The highly customizable fields make building a CRM that meets our needs easy. The interface is intuitive and I anticipate that it will be easy for our staff to learn it quickly. The Apptivo staff member who assisted me today, was knowledgeable and helpful throughout the process of transitioning to this platform. I like how customizable and scalable the Apptivo CRM is. It meets our needs as a growing non-profit both now and for the foreseeable future.

","Right now, there's more options than we need, like employee management, but it is nice to know the option is there.
"
2019-04-24,2019,"Good CRM”
 complete pack of business apps, All-In-One - good online support (chat)
","incomplete and outdated manuals and video tutorials
"
2019-04-16,2019,"Customer service”
 Excellent
 this works fast and easy from my phone and does what I need from my laptop at home
","marking invoices paid use to be easy or should I say faster
"
2019-04-16,2019,"Great Product and top notch Service
 Having the on-line chat available 24 hours a day is unbelievable. They very knowledgable and fast. Its like having your own IT sitting there next to you waiting for me to ask a question. Great SERVICE!
 Tons of features for less money. Great Customer service
","Occasional it doesn't have a feature I would like...not very often
"
2019-04-14,2019," Excellent CRM with a rich feature set, that just needs a visual update
 Apptivo has so much included for a very fair price - Leads, Opportunities, Projects, Item Tracking, Customer Portal and so much more. The support is a live chat from within the CRM so it's so easy to raise an issue. It's generally reliable and easy to customise.
","Sometimes can run slow during peak periods (US time) so can be slightly annoying. The GUI is good, but could use with updating.
"
2019-04-09,2019,"Great customer support”
 My experience with their rep was phenomenal. After working for hours on setting the software up and customizing it to our needs, I got frustrated. He was patient and clear with his communication and a truly welcome support. He is a great representative of the excellent customer support we have received from Apptivo. We really needed this CRM for our daily activities. It was a welcome change and upgrade from managing everything with a spreadsheet.

",I did not initially find it easy to learn and navigate.
2019-04-09,2019," ALL GOOD.ONLINE SUPPORT TEAM IS LEGIT .
 MAILERS.We can send bulk mails in one go.
","NAVIGATION is bit outdated.And sometimes confusing.
"
2019-04-08,2019," The product is good value for money and functional but just needs that sales planning app working on.
 Had very good quick service from the team to fix the issue
","The sales planning feature is very limited. I have a split sales team working on different products so the performance charts are limited to reporting on the whole number which is very prohibative, this would be the area i would work on most as its not great. It is also not geared up for me to set this up as i am a manager who admins this and also part of the sales team so i cannot set up the performance and quotas for each tier as i have people above me who will view this but it is below their pay grade to be setting up a CRM
"
2019-04-02,2019,"Awesome & Easy To Use”
 I'm amazed by the ease of use! I highly recommend People out their who are looking for cost effective, user friendly CRM. You have everything what you need in Apptivo, thank you Apptivo, great team without a doubt.
 It's an extremely user friendly software. It will take couple of hours to setup and once you are done, you wouldn't believe how much this will ease-up your life.
","That the settings for the items and employees etc are placed somewhere else, and it doesn't indicate where should I go first in order to add an item in an item list.
"
2019-04-01,2019,"I've been using their ""Starter Plan"" since 2012. It is good enough to get by, and it is free. I mostly use the invoicing module.
"," Their software is decent, but they really seem to loathe their Starter Plan customers. The way they hack out features that they don't want available is sloppy, and makes it necessary to come up with ways to work around their intentional stumbling blocks. Apptivo - If you don't want to offer a free product, don't. I got the hint, and I'm setting up PayPal Invoicing tonight.
Certain settings in the starter plan don't make sense. For example, the e-mail template includes a link to paying online, but online payments aren't supported in the starter plan. Modifying the e-mail template to take that link out is also not supported in the starter plan. I could deal with all that, but now, after a year of using the recurring invoices feature, they suddenly stop working. The tech support person says I have to upgrade my plan to use that. But the settings pages all work, and my invoices are all just sitting there waiting.
"
2019-04-01,2019,"Great databank
 Easy and very Apptivo is very helpful in case of problems
","There is a glitch in forwarding my emails from my standard account to Apptivo account
"
2019-03-31,2019,"Great customer service experience. Very knowledgeable.
","Very flexible but somewhat more involved than I require.
"
2019-03-24,2019,"The best support I've ever experienced!!! I'm talking 7 days a week 24 hours a day”
 It is absolutely not only the heartbeat of my company, but now I also use Apptivo for my personal use.
 Apptivo is by far the Best CRM and Financial, Apptivo is freaking Amazing & Awesome!! I truly Love Apptivo!!! Ricky Bobby
","My lack of knowledge, but it is easy to use.
"
2019-03-23,2019,"Making a small business look large and professional”
 Very Happy with the product. It works well, year in and year out, and this year, I intend to learn how to use more aspects of it. It's a complete sales CRM and I don't really take advantage of that. I use it as an invoice generation tool. I am a loyal user and have no intention of looking elsewhere. BUT please think about that calendar feature. $60 and an invasive integration from Google, feels a bit much.
 It is easy and quick to punch out an invoice copying an old customer invoice and making a couple changes in the body the Output looks Professional when I bill my corporate clients. I like that if I get stuck, CHAT is always available and it's been quick to resolve my confusion or concerns.
","Inconsistent features access between my Ipad and my windows desktop. The IOS (Apple) apps have improved since I started using Apptivo. Although I had to have two separate Apps on my ipad initially and it was confusing, the main app has bulked up to where I rarely need to get on my windows machine. But I'm finding I do have to still, like setting up recurring invoices. Recording payments, seems to be less than intuitive, resulting in me over crediting an account and having to search until I gave up, trying to delete the twice or more extra payments due to some sort of lag from screen to screen. My man complaint is lack of a simple calendar capability and it appears if I want it I'll be having to add Google G Suites, which is overkill. Apparently to make up for lack of feature capability in Apptivo, if I want to set up recurring invoices that utilize date features like 2nd Tuesday of every month or 4th Monday of the month. That will cost me $6 month from Google and I don't want or need all of the G suite features.
"
2019-03-20,2019,"The software is very intuitive. Not a very hard concept to grasp.
","It has minor functionality problems and issues but the support team is very friendly and helpful. Always working to fix things.
"
2019-03-19,2019,"Their support is seriously some of the best support I've ever had, and I've used tons of online apps before. Apptivo Support is Amazing”

","There's a little bit of a learning curve, but that's probably because it's my first CRM setup
"
2019-03-19,2019,"“Best CRM I ever found”
 Best value for money. Fully customisable. Best pre-sale and after-sales technical support team available 24/7. One CRM for all kind of activities. There are many apps like marketing, sales, financials, supply chains and many more in one app.
","Little slow, online chat button for support in bottom is somewhat disturbing.
"
2019-03-14,2019,"“Its the support that makes all the difference”
 Fastastic experience overall. Great documentation but I just use the chat support and they usually direct you straight to the article I need. I intend to gradually introduce all the functionallity into my business.
 I like the way you can enable just the bits you need. I started with just invoicing and am gradually enabling the other elements as I need them. That way it doesnt blind you with too many options whilst you learn to use the system. Its the support that really makes the difference in this product. I have had lots of questions and I have all these answered quickly via the chat function. No question is too much trouble and considering the very affordable price its unbelievable.
",I cant think of many really. Occasionally its a little slow and sometimes I get the odd glitch but nothing to really worry about.
2019-03-13,2019,"Very Helpful”
 Easy to use. Easy to configure. Easy to get support. Those are the most important things that a platform can offer.
","When working with templates, it can be a bit confusing but with support on standby, it can turn out to be an experience that isn't difficult.
"
2019-03-12,2019,"great customer service
 Had some challenges but was resolved by customer service Gowmi. she is awsome!!
 awsome customer service team, especially Gowmi. If the company has employees like Gowmi than I will be their client for life.
","ease of use.... certain functions are complicated.
"
2019-03-12,2019," So far everything is great
 It's Free to get going and does everything I need right now. Support is great too.
","Nothing yet, so far I am able to quote, invoice and manage customers opportunities as required
"
2019-03-08,2019,"Very helpful support ”
 I'm still populating the Items but now the invoice and quotes are sorted it should help me do what's needed without concern. Only used it for a week but have major steps forward to getting it set up how I want it.
 The functionality of the who suite of apps.
It can be frustrating when trying to do what's new by yourself but the 24/7 support is there to help you. CSR was helpful today helping me sort out quote and invoice layouts that I'm happy with so hats off to him!
",-
2019-03-08,2019,"“Great CRM Software”
 Exceptional! they have been very helpful
 ability to adapt to my organization's existing structure and processes","takes a bit time to get used to it and set up
"
2019-03-07,2019,"Quick reply from the support team helps for faster development
","Documentation is confusing. Only after contacting the support we came to know about the hidden API docs with in the API settings page
"
2019-02-27,2019,"Unlimited daily bulk emailing function (on premium plan). 2. Usage of both categories and tags. 3. Inport history, with the ability to download a previous imported data set.
","General layout of the buttons within apps. 2. Lack of ability to delete categories (when no longer needed). 3. Trouble with seeing multiple categories in which a contact is assigned to simultaneously within the layout.
"
2019-02-21,2019,"One Stop Business Management Solution”
 Support is trying very hard to address the challenges and I'm confident they will find a solution. We're going to give them 90 days before looking elsewhere. Overall, I feel that Apptivo can be a HUGE player in the Business Management arena as long as they work the bugs out and make it more friendly API wise. Would love to see it fully integrated with RingCentral so that we don't have to pay PieSync to do the integration, etc.
 The software offers a solution to every business management challenge - EXCEPT SCHEDULING. They have a wonderful platform and I'm confident their users will find it valuable once the bugs are worked out.
","Thre are a lot of bugs that cause the platform to not perform as intended. Double work is needed to overcome the challenges of buggy software so that's not an ideal situation. Seems to work better on Chrome than any other browser but not everyone HAS Chrome.
"
2019-02-21,2019,"Excellent! I LOVE the chat feature. Apptivo is very quick to respond to a chat request. They are able to answer my questions and help as needed. Can start a chat session to get a quick answer to a question...not a big issue to get answers! Keep up the great work Apptivo!!
 Very flexible! Can remove fields and functions that are not needed at this time. Can add fields that we need for our business.
","Integration with Microsoft Office...more an Office issue than an Apptivo Issue
"
2019-02-20,2019," We are a small & medium company located in Europe with subsidiaries in US and Asia. We were looking for a provider which could (1) allow each subsidiary to view each other's customers (to increase the lead generation); (2) enable us to standardize our data (previously we were entering data into Excel without proper format); (3) facilitate data analysis and (4) enable us to streamline and automatize as much as possible the process from price offer to invoicing. After extensive research, we selected Apptivo for our CRM solution. Having to deal with lots of lists of companies from different countries, dealing with multiple currencies, it was not easy to find a CRM which is easy to use, affordable and yet can meet our demand. We have been using Apptivo for one year now and we are very happy with our choice. It was a necessary step to professionalize our business process. There is probably much more we can do with the application which we haven't explore yet. We are now using CRM, HR, Suppliers, items and Invoicing app within Apptivo.
 Easy to use, flexible, great value for money, great support (very friendly and quick), easy to import/export your data back into Excel.
","We found a few small glitches (no space between ""Mr."" and ""Name"" when exporting the fields; or one functionality in invoicing did not work), but the support team was very quick in fixing those.
"
2019-02-06,2019,"Fantastic product”
 It's very customizable to fit the needs of your business
","It is hard to figure out at first and some of the how to videos are outdated
"
2019-02-05,2019,"Perfect for any business
 I have only used a handful of the features so far, however, I am happy with what I have, I was looking for a solution like this as I grow but don't have the resources to generate a custom solution. This was the perfect fit, it hosts all the information of expense reports, projects, invoicing, licensing, provider payments, staffing, etc. in one place to review so things don't get lost through the cracks.
You can find many CRM softwares, other project management softwares, and yet other accounting software. Apptivo brings all these features and more into one platform. While maybe not the easiest to use, it is due to the vast capabilities and customization features of the software. I don't have an IT staff and am an individual business owner but I was able to get everything set up for my professional services related business. I am extremely satisfied with the fast assistance by email, phone, and chat with the support staff, I couldn't have done it without them.
","I wish the person completing the trial demonstration could also have done a very advanced customization demonstration or I could have schedueld that for the future. I attempted multiple times to customize apps myself and ended up duplicating features and the original feature was better than what I did in the first place.
"
2019-02-01,2019,"Apptivo support”
 Customer contact and mangement
""Loved the calendar when I open up Apptivo CRM. And most importantly the excellent support I receive
""","To early to tell at the moment will advise later
"
2019-01-10,2019,"There's a LOT of good stuff in here!”
 I came for the Contract management and CRM features. I also plan on using the accounting features, project management features, and likely others. I'm brand new at it, but I'm blown away by the value so far.
 For the price, there's SO MUCH great functionality in here. Also, the support chat was very responsive and stayed in the chat with me for all of my initial questions getting things set up.
","It can be hard to use, especially at first. The support chat was a great workaround for that issue, though.
"
2019-01-07,2019,"Great App
 Looking forward to learn more about the CRM
 Easy to use great customer support and over all good value for your money
","Needed to ask where things are at first.
"
2018-12-28,2018,"Incisive. Problems solved for Customer relationship management for my company- TIMELINE SOLUTIONS.
 Customization of fields simplified and very elaborate, customer support at finger tips..readily available; I think getting what combines all the functionalities that Apptivo offers in the market am yet to gte except for the giant ERP systems..not a CRM. We are definitely going to recommend Apptivo anytime
","From the trial version to activated one, I interacted with the solution and couldn't find any down side given the nature and scope of our requirements.
"
2018-12-21,2018,"Great!
 fast and helpful with the ability to perform our tasks that we need done
","Not applicable. I like everything so far.
"
2018-11-14,2018,"Apptivo - Platform as a Service in spades!”
 I've worked with Salesforce for many years - Apptivo has an object-oriented design that is extremely robust. the customer support is superior - on-line chats are available, quick, and the support team is very knowledgeable.
 It is logical-easy to use. Magnificent personalization capabilities with true drag and drop - consistency in the UI allows tremendous flexibility.
","Because it is so flexible it is possible to modify it in ways that are confusing - Caution when changing standard Apptivo fields!
"
2018-10-31,2018,"“Apptivo, Your're great!”
 This CRM is easy to use and to learn. The Chat feature and technical staff due an outstanding job of supporting you when getting started and for doing custom items. We tried another CRM system that is well know in the market and left them after one year. Apptivo helped us to convert our data over to them and have helped us every step along the way. I can't say enough good about them.
","I would like more training videos to watch vs reading how to do something. The estimating section is a little harder to use then the rest of the sections.
"
2018-10-27,2018,"Nice features. Great support”
 They have been a dependable partner for over two years now. Never had any downtime and it works as advertised.
 The support is great. I can get to an active chat and they answer my questions instantly. The feature set covers most of what I need and the pricing is great. A great value when you compare it to Salesforce.
",The features are not as extent as Salesforce but you can't beat the pricing for a small business.
2018-10-23,2018,"Great CRM for the price”
 Apptivo offers all the features you need to run your business. The price is excellent compared with Sales Force.
","Although there are many app integrations available, there are still a lot fewer than other CRMs for now.
"
2018-10-04,2018,"Support can be 'hit or miss', but I found a Gem!”
 I love Apptivo as a platform, but largely found the support lacking. However, I've just found rep to be the most helpful and thoughtful support agent yet. Some old tickets and a new one, all concluded in one session. Can't rate this guy highly enough!
","As I say, from time to time the support can be 'hit or miss', however this #apptivo guy worth the wait!
"
2018-09-27,2018,"Apptivo is a great value. ”
 I replaced ACT with Apptivo. Apptivo does so much more. The cost is lower so I have been able to give licenses to more users. The change has been good for us.
 I like the large variety of applications the software is able to do.
","As with any new software, learning takes time.
"
2018-09-24,2018,"It literally saved my hours and hours of precious time!”
 It helps to manage customer relationship, campaigns, billing, and invoices. This is helpful to manage payment and tax department very smoothly which is important for any business. It further helps to organize the calendar for all business activities and keep a record of all the important contact details. Document management is another key feature. All the important documents related to the business can be kept safely in a virtual location. It caters to widespread businesses like the travel industry, retail, and wholesale industry etc.. All important activities of a business can be interlinked with the help of this application. We can enhance our productivity with this effective management application.
","When we started, our time zones were just IST and when employees from another part of the world started to sign up to the CRM, we faced a lot of problems to set autoresponders at the correct time. The time and date format don't change according to the location.
"
